forecast_horizon_hours,liquidity_quartile,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
6,Q3,0,0.0,0.1,1281,0.01111631537861046,0.00312256049960968,-0.00799375487900078,0.7878228782287823
6,Q3,1,0.1,0.2,38,0.14618421052631578,0.10526315789473684,-0.04092105263157894,0.023370233702337023
6,Q3,2,0.2,0.30000000000000004,11,0.24863636363636363,0.36363636363636365,0.11500000000000002,0.006765067650676507
6,Q3,3,0.30000000000000004,0.4,6,0.3775,0.0,-0.3775,0.0036900369003690036
6,Q3,4,0.4,0.5,8,0.461875,0.5,0.03812500000000002,0.004920049200492005
6,Q3,5,0.5,0.6000000000000001,8,0.53625,0.625,0.08875,0.004920049200492005
6,Q3,6,0.6000000000000001,0.7000000000000001,8,0.651875,0.375,-0.276875,0.004920049200492005
6,Q3,7,0.7000000000000001,0.8,14,0.7553571428571428,0.7857142857142857,0.03035714285714286,0.008610086100861008
6,Q3,8,0.8,0.9,23,0.8617391304347827,0.9130434782608695,0.05130434782608684,0.014145141451414513
6,Q3,9,0.9,1.0,229,0.9786244541484715,0.9956331877729258,0.01700873362445421,0.14083640836408365
6,Q4_high,0,0.0,0.1,1132,0.009310954063604241,0.007067137809187279,-0.0022438162544169624,0.6957590657652121
6,Q4_high,1,0.1,0.2,23,0.13978260869565218,0.2608695652173913,0.12108695652173912,0.014136447449293177
6,Q4_high,2,0.2,0.30000000000000004,13,0.2423076923076923,0.38461538461538464,0.14230769230769233,0.007990165949600492
6,Q4_high,3,0.30000000000000004,0.4,13,0.34307692307692306,0.38461538461538464,0.04153846153846158,0.007990165949600492
6,Q4_high,4,0.4,0.5,10,0.45,0.3,-0.15000000000000002,0.006146281499692686
6,Q4_high,5,0.5,0.6000000000000001,3,0.5566666666666666,0.3333333333333333,-0.22333333333333333,0.0018438844499078057
6,Q4_high,6,0.6000000000000001,0.7000000000000001,11,0.660909090909091,0.45454545454545453,-0.20636363636363647,0.006760909649661954
6,Q4_high,7,0.7000000000000001,0.8,11,0.7654545454545455,0.7272727272727273,-0.038181818181818206,0.006760909649661954
6,Q4_high,8,0.8,0.9,26,0.8555769230769231,0.8461538461538461,-0.009423076923076978,0.015980331899200985
6,Q4_high,9,0.9,1.0,385,0.9831818181818182,0.9818181818181818,-0.0013636363636363447,0.2366318377381684
1,Q1_low,0,0.0,0.1,790,0.011500000000000002,0.0,-0.011500000000000002,0.6621961441743504
1,Q1_low,1,0.1,0.2,29,0.14310344827586208,0.0,-0.14310344827586208,0.024308466051969825
1,Q1_low,2,0.2,0.30000000000000004,20,0.24575,0.0,-0.24575,0.016764459346186086
1,Q1_low,3,0.30000000000000004,0.4,7,0.35571428571428576,0.0,-0.35571428571428576,0.00586756077116513
